Area code;Donor;Project Code;Session No;legal or protection;Oblast;Raion;Hromada;Location name;Date;Topic;Language;Facilitator;Settlement type;Gender;Age;Status;Delivered;Comments
CHJ - Chernihiv;ECHO;UKR-000269;2;Protection;Chernihivska;Chernihivskyi;Horodnianska;Horodnia;14.12.2022;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Male;50;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;2;Protection;Chernihivska;Chernihivskyi;Horodnianska;Horodnia;14.12.2022;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;33;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;2;Protection;Chernihivska;Chernihivskyi;Horodnianska;Horodnia;14.12.2022;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;55;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;2;Protection;Chernihivska;Chernihivskyi;Horodnianska;Horodnia;14.12.2022;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;62;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;2;Protection;Chernihivska;Chernihivskyi;Horodnianska;Horodnia;14.12.2022;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;55;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;3;Protection;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;15.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;65;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;3;Protection;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;15.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;56;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;3;Protection;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;15.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;63;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;3;Protection;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;15.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;56;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;3;Protection;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;15.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;50;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;3;Protection;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;15.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;66;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;3;Protection;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;15.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;63;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;3;Protection;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;15.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;68;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;3;Protection;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;15.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;70;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;3;Protection;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;15.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;52;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;3;Protection;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;15.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;71;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;3;Protection;Chernihivska;Chernihivskyi;Novobilouska;Selianska Sloboda;15.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;57;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;4;Protection;Chernihivska;Chernihivskyi;Mykhailo-Kotsiubynska;Pakul;20.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;60;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;4;Protection;Chernihivska;Chernihivskyi;Mykhailo-Kotsiubynska;Pakul;20.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;64;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;4;Protection;Chernihivska;Chernihivskyi;Mykhailo-Kotsiubynska;Pakul;20.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;56;Conflict affected;YES;
CHJ - Chernihiv;ECHO;UKR-000269;4;Protection;Chernihivska;Chernihivskyi;Mykhailo-Kotsiubynska;Pakul;20.03.2023;Stigma and barriers to access to psychological help;ukrainian;Mykola Hlova, Olga Kaminska;Rural;Female;76;Conflict affected;YES;
